rank,name,total_prs,prs_analyzed
1,codecrafters-io/build-your-own-x,343,65
2,sindresorhus/awesome,2381,689
3,freeCodeCamp/freeCodeCamp,45086,24314
4,public-apis/public-apis,3328,1346
5,EbookFoundation/free-programming-books,11641,3192
7,nilbuild/developer-roadmap,6065,1541
8,donnemartin/system-design-primer,373,205
9,jwasham/coding-interview-university,1012,81
10,vinta/awesome-python,2418,614
11,awesome-selfhosted/awesome-selfhosted,3043,1940
12,996icu/996.ICU,1991,150
13,practical-tutorials/project-based-learning,387,65
14,facebook/react,19049,7669
15,trimstray/the-book-of-secret-knowledge,242,82
16,TheAlgorithms/Python,11432,4514
17,vuejs/vue,2374,522
18,ossu/computer-science,514,29
19,obra/superpowers,608,213
20,trekhleb/javascript-algorithms,578,66
22,ultraworkers/claw-code,158,1
23,n8n-io/n8n,20493,13092
24,affaan-m/ECC,1393,754
25,ohmyzsh/ohmyzsh,7671,1159
27,getify/You-Dont-Know-JS,897,50
28,Significant-Gravitas/AutoGPT,7899,3996
29,CyC2018/CS-Notes,562,12
30,jackfrued/Python-100-Days,217,5
32,twbs/bootstrap,16046,4861
33,github/gitignore,4683,747
34,avelino/awesome-go,5163,2270
35,ollama/ollama,4668,2590
36,yt-dlp/yt-dlp,4243,2583
37,anomalyco/opencode,11062,1201
38,AUTOMATIC1111/stable-diffusion-webui,3271,1502
39,f/prompts.chat,857,210
